,event_date,event_link,event_time,event_title
135,2018-05-28,https://www.lyceechicago.org/calendar/memorial-day-school-closed-2,(All day),Memorial Day - School Closed
136,2018-06-15,https://www.lyceechicago.org/calendar/end-of-school-year,(All day),End of School Year
137,2018-08-29,https://www.lyceechicago.org/calendar/school-opens-for-all,(All day),School Opens for ALL
138,2018-09-03,https://www.lyceechicago.org/calendar/labor-day-school-closed-1,(All day),Labor Day - School Closed
139,2018-10-20,https://www.lyceechicago.org/calendar/fall-recess-1,(All day),Fall Recess
140,2018-10-21,https://www.lyceechicago.org/calendar/fall-recess-1,(All day),Fall Recess
141,2018-10-22,https://www.lyceechicago.org/calendar/fall-recess-1,(All day),Fall Recess
142,2018-10-23,https://www.lyceechicago.org/calendar/fall-recess-1,(All day),Fall Recess
143,2018-10-24,https://www.lyceechicago.org/calendar/fall-recess-1,(All day),Fall Recess
144,2018-10-25,https://www.lyceechicago.org/calendar/fall-recess-1,(All day),Fall Recess
145,2018-10-26,https://www.lyceechicago.org/calendar/fall-recess-1,(All day),Fall Recess
146,2018-10-27,https://www.lyceechicago.org/calendar/fall-recess-1,(All day),Fall Recess
147,2018-10-28,https://www.lyceechicago.org/calendar/fall-recess-1,(All day),Fall Recess
148,2018-11-21,https://www.lyceechicago.org/calendar/thanksgiving-break-school-closed-0,(All day),Thanksgiving Break - School Closed
149,2018-11-22,https://www.lyceechicago.org/calendar/thanksgiving-break-school-closed-0,(All day),Thanksgiving Break - School Closed
150,2018-11-23,https://www.lyceechicago.org/calendar/thanksgiving-break-school-closed-0,(All day),Thanksgiving Break - School Closed
151,2018-11-24,https://www.lyceechicago.org/calendar/thanksgiving-break-school-closed-0,(All day),Thanksgiving Break - School Closed
152,2018-11-25,https://www.lyceechicago.org/calendar/thanksgiving-break-school-closed-0,(All day),Thanksgiving Break - School Closed
