,id,Text,Words,Filtered,HashedFilteredValues,Features
20,Grace Y.,oooooh i want to love boulangerie so much they are so good at what they're good at but they struggle so much in other areas that if they got right would make them crush it their croissants and other baked goods are so so so lovely and scrumptious but the second you switch to ordering prepared foods things have a tendency to fall apart obviously these are first world problems but here are recent examples: ordered a lemon crepe from the menu when it came it was plain and the manager said oh sorry we are out of lemon did they know that when we ordered or did it happen after why not communicate that to us and give us an option to reorder ordered a crepe dish and asked them for brie instead of mozzarella inside no problembut it came with mozzarella and barely warm inside and egg on top was not adequately cooked our four dishes came at very different times my kids were done w their breakfast by the time mine came bottom line it feels like they are one person short and that communication internally could be improved s'il vous plait ,"['oooooh', 'i', 'want', 'to', 'love', 'boulangerie', 'so', 'much', 'they', 'are', 'so', 'good', 'at', 'what', ""they're"", 'good', 'at', 'but', 'they', 'struggle', 'so', 'much', 'in', 'other', 'areas', 'that', 'if', 'they', 'got', 'right', 'would', 'make', 'them', 'crush', 'it', 'their', 'croissants', 'and', 'other', 'baked', 'goods', 'are', 'so', 'so', 'so', 'lovely', 'and', 'scrumptious', 'but', 'the', 'second', 'you', 'switch', 'to', 'ordering', 'prepared', 'foods', 'things', 'have', 'a', 'tendency', 'to', 'fall', 'apart', 'obviously', 'these', 'are', 'first', 'world', 'problems', 'but', 'here', 'are', 'recent', 'examples:', 'ordered', 'a', 'lemon', 'crepe', 'from', 'the', 'menu', 'when', 'it', 'came', 'it', 'was', 'plain', 'and', 'the', 'manager', 'said', 'oh', 'sorry', 'we', 'are', 'out', 'of', 'lemon', 'did', 'they', 'know', 'that', 'when', 'we', 'ordered', 'or', 'did', 'it', 'happen', 'after', 'why', 'not', 'communicate', 'that', 'to', 'us', 'and', 'give', 'us', 'an', 'option', 'to', 'reorder', 'ordered', 'a', 'crepe', 'dish', 'and', 'asked', 'them', 'for', 'brie', 'instead', 'of', 'mozzarella', 'inside', 'no', 'problembut', 'it', 'came', 'with', 'mozzarella', 'and', 'barely', 'warm', 'inside', 'and', 'egg', 'on', 'top', 'was', 'not', 'adequately', 'cooked', 'our', 'four', 'dishes', 'came', 'at', 'very', 'different', 'times', 'my', 'kids', 'were', 'done', 'w', 'their', 'breakfast', 'by', 'the', 'time', 'mine', 'came', 'bottom', 'line', 'it', 'feels', 'like', 'they', 'are', 'one', 'person', 'short', 'and', 'that', 'communication', 'internally', 'could', 'be', 'improved', ""s'il"", 'vous', 'plait']","['oooooh', 'want', 'love', 'boulangerie', 'much', 'good', 'good', 'struggle', 'much', 'areas', 'got', 'right', 'make', 'crush', 'croissants', 'baked', 'goods', 'lovely', 'scrumptious', 'second', 'switch', 'ordering', 'prepared', 'foods', 'things', 'tendency', 'fall', 'apart', 'obviously', 'first', 'world', 'problems', 'recent', 'examples:', 'ordered', 'lemon', 'crepe', 'menu', 'came', 'plain', 'manager', 'said', 'oh', 'sorry', 'lemon', 'know', 'ordered', 'happen', 'communicate', 'us', 'give', 'us', 'option', 'reorder', 'ordered', 'crepe', 'dish', 'asked', 'brie', 'instead', 'mozzarella', 'inside', 'problembut', 'came', 'mozzarella', 'barely', 'warm', 'inside', 'egg', 'top', 'adequately', 'cooked', 'four', 'dishes', 'came', 'different', 'times', 'kids', 'done', 'w', 'breakfast', 'time', 'mine', 'came', 'bottom', 'line', 'feels', 'like', 'one', 'person', 'short', 'communication', 'internally', 'improved', ""s'il"", 'vous', 'plait']","(1800,[3,28,70,90,112,113,115,125,129,144,180,204,213,225,242,250,263,312,328,345,361,368,406,449,505,519,574,582,583,652,660,663,688,704,741,742,758,764,831,835,841,871,874,903,930,979,983,1007,1022,1040,1044,1055,1092,1099,1124,1180,1183,1245,1277,1284,1331,1360,1408,1429,1441,1489,1520,1555,1582,1603,1622,1635,1640,1643,1668,1707,1709,1713,1720,1726,1747,1750,1757,1788],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0])","(1800,[3,28,70,90,112,113,115,125,129,144,180,204,213,225,242,250,263,312,328,345,361,368,406,449,505,519,574,582,583,652,660,663,688,704,741,742,758,764,831,835,841,871,874,903,930,979,983,1007,1022,1040,1044,1055,1092,1099,1124,1180,1183,1245,1277,1284,1331,1360,1408,1429,1441,1489,1520,1555,1582,1603,1622,1635,1640,1643,1668,1707,1709,1713,1720,1726,1747,1750,1757,1788],[2.8903717578961645,2.4849066497880004,3.58351893845611,2.8903717578961645,2.330755969960742,3.58351893845611,3.1780538303479458,1.791759469228055,3.58351893845611,1.7117167615545186,2.4849066497880004,5.33445641316391,2.330755969960742,3.58351893845611,2.667228206581955,2.4849066497880004,2.4849066497880004,2.330755969960742,5.135150284663556,3.58351893845611,3.58351893845611,1.888923217681703,3.58351893845611,3.1780538303479458,2.4849066497880004,1.4434527749598391,1.9740810260220096,2.8903717578961645,2.667228206581955,2.4849066497880004,3.1780538303479458,4.969813299576001,2.4849066497880004,3.1780538303479458,7.16703787691222,3.58351893845611,3.58351893845611,2.667228206581955,1.7117167615545186,2.667228206581955,2.8903717578961645,2.8903717578961645,2.330755969960742,2.0794415416798357,1.6376087894007967,1.8787708462176849,1.5040773967762742,2.330755969960742,2.330755969960742,2.330755969960742,1.1856236656577395,1.9740810260220096,2.667228206581955,2.667228206581955,4.394449154672439,7.8963241040880385,2.330755969960742,3.58351893845611,2.667228206581955,3.58351893845611,1.8787708462176849,3.58351893845611,4.661511939921484,3.1780538303479458,3.58351893845611,2.667228206581955,2.8903717578961645,3.58351893845611,1.8787708462176849,3.58351893845611,3.58351893845611,3.58351893845611,2.667228206581955,3.58351893845611,1.8787708462176849,2.330755969960742,6.3561076606958915,0.9444616088408515,1.791759469228055,5.780743515792329,2.8903717578961645,2.8903717578961645,1.1411719030869056,2.4849066497880004])"
21,Vee G.,ordered some chocolate éclairs and they were a hit everyone loved them friendly and professional staff i also tried their coffee perfection ,"['ordered', 'some', 'chocolate', 'éclairs', 'and', 'they', 'were', 'a', 'hit', 'everyone', 'loved', 'them', 'friendly', 'and', 'professional', 'staff', 'i', 'also', 'tried', 'their', 'coffee', 'perfection']","['ordered', 'chocolate', 'éclairs', 'hit', 'everyone', 'loved', 'friendly', 'professional', 'staff', 'also', 'tried', 'coffee', 'perfection']","(1800,[9,77,231,328,366,509,514,551,693,801,1355,1392,1743],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1800,[9,77,231,328,366,509,514,551,693,801,1355,1392,1743],[2.8903717578961645,2.8903717578961645,1.791759469228055,1.7117167615545186,2.8903717578961645,1.6376087894007967,1.7117167615545186,1.0185695809945732,3.58351893845611,1.3322271398496148,1.8787708462176849,1.6376087894007967,3.1780538303479458])"
22,Kelsey V.,let me begin by saying the pastries are incredible i have not had a better croissant in chicagoland yet the sandwiches in my opinion always leave something to be desired i have ordered the veggie special sandwich and the normandie the veggie special was in dire need of salt there was so little brie they forgot the brie entirely on the normandie sandwich i ordered and had put less than a teaspoon of caramelized onions on the entire sandwich the nice lady behind the kitchen counter gave me extra brie when i returned it it's not that the sandwiches are inedible not at all just lacking in something perhaps because i am ordering the vegetarian sandwiches i feel like the addition of one or two more ingredients or sauces etc would make them stellar but go for the pastries ,"['let', 'me', 'begin', 'by', 'saying', 'the', 'pastries', 'are', 'incredible', 'i', 'have', 'not', 'had', 'a', 'better', 'croissant', 'in', 'chicagoland', 'yet', 'the', 'sandwiches', 'in', 'my', 'opinion', 'always', 'leave', 'something', 'to', 'be', 'desired', 'i', 'have', 'ordered', 'the', 'veggie', 'special', 'sandwich', 'and', 'the', 'normandie', 'the', 'veggie', 'special', 'was', 'in', 'dire', 'need', 'of', 'salt', 'there', 'was', 'so', 'little', 'brie', 'they', 'forgot', 'the', 'brie', 'entirely', 'on', 'the', 'normandie', 'sandwich', 'i', 'ordered', 'and', 'had', 'put', 'less', 'than', 'a', 'teaspoon', 'of', 'caramelized', 'onions', 'on', 'the', 'entire', 'sandwich', 'the', 'nice', 'lady', 'behind', 'the', 'kitchen', 'counter', 'gave', 'me', 'extra', 'brie', 'when', 'i', 'returned', 'it', ""it's"", 'not', 'that', 'the', 'sandwiches', 'are', 'inedible', 'not', 'at', 'all', 'just', 'lacking', 'in', 'something', 'perhaps', 'because', 'i', 'am', 'ordering', 'the', 'vegetarian', 'sandwiches', 'i', 'feel', 'like', 'the', 'addition', 'of', 'one', 'or', 'two', 'more', 'ingredients', 'or', 'sauces', 'etc', 'would', 'make', 'them', 'stellar', 'but', 'go', 'for', 'the', 'pastries']","['let', 'begin', 'saying', 'pastries', 'incredible', 'better', 'croissant', 'chicagoland', 'yet', 'sandwiches', 'opinion', 'always', 'leave', 'something', 'desired', 'ordered', 'veggie', 'special', 'sandwich', 'normandie', 'veggie', 'special', 'dire', 'need', 'salt', 'little', 'brie', 'forgot', 'brie', 'entirely', 'normandie', 'sandwich', 'ordered', 'put', 'less', 'teaspoon', 'caramelized', 'onions', 'entire', 'sandwich', 'nice', 'lady', 'behind', 'kitchen', 'counter', 'gave', 'extra', 'brie', 'returned', 'sandwiches', 'inedible', 'lacking', 'something', 'perhaps', 'ordering', 'vegetarian', 'sandwiches', 'feel', 'like', 'addition', 'one', 'two', 'ingredients', 'sauces', 'etc', 'make', 'stellar', 'go', 'pastries']","(1800,[13,125,190,208,213,238,253,319,328,331,336,337,351,367,417,418,467,539,553,595,715,764,766,776,791,808,813,820,854,867,930,1004,1044,1075,1092,1099,1131,1164,1198,1261,1278,1301,1356,1370,1408,1409,1548,1591,1615,1677,1679,1703,1711,1741,1775],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0])","(1800,[13,125,190,208,213,238,253,319,328,331,336,337,351,367,417,418,467,539,553,595,715,764,766,776,791,808,813,820,854,867,930,1004,1044,1075,1092,1099,1131,1164,1198,1261,1278,1301,1356,1370,1408,1409,1548,1591,1615,1677,1679,1703,1711,1741,1775],[2.0794415416798357,1.791759469228055,2.667228206581955,1.9740810260220096,2.330755969960742,3.1780538303479458,2.0794415416798357,7.16703787691222,3.423433523109037,3.58351893845611,3.1780538303479458,1.9740810260220096,2.8903717578961645,3.58351893845611,6.3561076606958915,4.5646876123476225,1.0986122886681098,2.667228206581955,5.780743515792329,3.1780538303479458,2.330755969960742,2.667228206581955,3.58351893845611,3.1780538303479458,3.58351893845611,2.330755969960742,1.5686159179138452,3.1780538303479458,3.1780538303479458,2.667228206581955,1.6376087894007967,3.1780538303479458,1.1856236656577395,2.4849066497880004,2.667228206581955,8.001684619745864,2.8903717578961645,2.4849066497880004,2.4849066497880004,2.8903717578961645,3.58351893845611,2.667228206581955,3.1780538303479458,2.330755969960742,2.330755969960742,3.5568709969732186,2.330755969960742,1.7117167615545186,2.667228206581955,1.3322271398496148,2.371247331315479,6.3561076606958915,2.330755969960742,2.330755969960742,5.780743515792329])"
23,Saira K.,cute bakery in ravenswood stephanie was as nice as can be they have samples of bread served with balsamic vinegar delicious croissant was huge and so good heated crepe was so good service is excellent attached to a school ,"['cute', 'bakery', 'in', 'ravenswood', 'stephanie', 'was', 'as', 'nice', 'as', 'can', 'be', 'they', 'have', 'samples', 'of', 'bread', 'served', 'with', 'balsamic', 'vinegar', 'delicious', 'croissant', 'was', 'huge', 'and', 'so', 'good', 'heated', 'crepe', 'was', 'so', 'good', 'service', 'is', 'excellent', 'attached', 'to', 'a', 'school']","['cute', 'bakery', 'ravenswood', 'stephanie', 'nice', 'samples', 'bread', 'served', 'balsamic', 'vinegar', 'delicious', 'croissant', 'huge', 'good', 'heated', 'crepe', 'good', 'service', 'excellent', 'attached', 'school']","(1800,[2,202,204,288,368,423,465,467,566,897,920,949,953,1370,1466,1471,1598,1702,1704,1721],[1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1800,[2,202,204,288,368,423,465,467,566,897,920,949,953,1370,1466,1471,1598,1702,1704,1721],[2.8903717578961645,3.1780538303479458,2.667228206581955,1.7117167615545186,1.888923217681703,2.667228206581955,1.1856236656577395,1.0986122886681098,2.8903717578961645,1.3322271398496148,2.8903717578961645,2.330755969960742,1.5686159179138452,2.330755969960742,3.1780538303479458,2.1972245773362196,2.8903717578961645,3.1780538303479458,1.791759469228055,1.9740810260220096])"
24,Allyson M.,i dont see that unfriendly guy anymore in the morning yey hoping he didnt just go on vacation but he is gone for good fortunately he was replaced by a much warm friendly cuter guy in the morning and that made my croissant taste better ,"['i', 'dont', 'see', 'that', 'unfriendly', 'guy', 'anymore', 'in', 'the', 'morning', 'yey', 'hoping', 'he', 'didnt', 'just', 'go', 'on', 'vacation', 'but', 'he', 'is', 'gone', 'for', 'good', 'fortunately', 'he', 'was', 'replaced', 'by', 'a', 'much', 'warm', 'friendly', 'cuter', 'guy', 'in', 'the', 'morning', 'and', 'that', 'made', 'my', 'croissant', 'taste', 'better']","['dont', 'see', 'unfriendly', 'guy', 'anymore', 'morning', 'yey', 'hoping', 'didnt', 'go', 'vacation', 'gone', 'good', 'fortunately', 'replaced', 'much', 'warm', 'friendly', 'cuter', 'guy', 'morning', 'made', 'croissant', 'taste', 'better']","(1800,[139,219,250,315,368,467,509,547,736,744,912,982,1020,1026,1124,1177,1303,1654,1663,1668,1677,1741],[3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0])","(1800,[139,219,250,315,368,467,509,547,736,744,912,982,1020,1026,1124,1177,1303,1654,1663,1668,1677,1741],[6.591673732008658,3.1780538303479458,2.4849066497880004,2.0794415416798357,0.9444616088408515,1.0986122886681098,1.6376087894007967,2.8903717578961645,3.1780538303479458,2.0794415416798357,3.1780538303479458,3.58351893845611,3.1780538303479458,3.58351893845611,2.1972245773362196,3.58351893845611,3.9481620520440193,2.667228206581955,3.58351893845611,1.8787708462176849,1.3322271398496148,2.330755969960742])"
25,Layne S.,food is great this is one of those silly reviews about service food is great if you can get it extremely inefficient layout with one rregister long lines and demanding self involved customers makes what could be a 2 minute interaction take significantly longer if i see more than 2 people in line i pass that said i was second in line and the woman in front of me changed her mind about items and began ordering new items at the register i had a freaking croissant in my hand waiting to check out selfishly it would have been significantly more efficient and customer friendly to let me pay for my 1 item foods good yet my time is worth more and the annoying customers suck ,"['food', 'is', 'great', 'this', 'is', 'one', 'of', 'those', 'silly', 'reviews', 'about', 'service', 'food', 'is', 'great', 'if', 'you', 'can', 'get', 'it', 'extremely', 'inefficient', 'layout', 'with', 'one', 'rregister', 'long', 'lines', 'and', 'demanding', 'self', 'involved', 'customers', 'makes', 'what', 'could', 'be', 'a', '2', 'minute', 'interaction', 'take', 'significantly', 'longer', 'if', 'i', 'see', 'more', 'than', '2', 'people', 'in', 'line', 'i', 'pass', 'that', 'said', 'i', 'was', 'second', 'in', 'line', 'and', 'the', 'woman', 'in', 'front', 'of', 'me', 'changed', 'her', 'mind', 'about', 'items', 'and', 'began', 'ordering', 'new', 'items', 'at', 'the', 'register', 'i', 'had', 'a', 'freaking', 'croissant', 'in', 'my', 'hand', 'waiting', 'to', 'check', 'out', 'selfishly', 'it', 'would', 'have', 'been', 'significantly', 'more', 'efficient', 'and', 'customer', 'friendly', 'to', 'let', 'me', 'pay', 'for', 'my', '1', 'item', 'foods', 'good', 'yet', 'my', 'time', 'is', 'worth', 'more', 'and', 'the', 'annoying', 'customers', 'suck']","['food', 'great', 'one', 'silly', 'reviews', 'service', 'food', 'great', 'get', 'extremely', 'inefficient', 'layout', 'one', 'rregister', 'long', 'lines', 'demanding', 'self', 'involved', 'customers', 'makes', '2', 'minute', 'interaction', 'take', 'significantly', 'longer', 'see', '2', 'people', 'line', 'pass', 'said', 'second', 'line', 'woman', 'front', 'changed', 'mind', 'items', 'began', 'ordering', 'new', 'items', 'register', 'freaking', 'croissant', 'hand', 'waiting', 'check', 'selfishly', 'significantly', 'efficient', 'customer', 'friendly', 'let', 'pay', '1', 'item', 'foods', 'good', 'yet', 'time', 'worth', 'annoying', 'customers', 'suck']","(1800,[20,25,86,102,192,197,200,229,260,315,368,389,436,453,467,489,491,505,509,548,582,587,643,744,759,764,778,813,823,906,908,953,1044,1055,1060,1061,1091,1092,1096,1116,1145,1172,1304,1314,1334,1384,1420,1482,1493,1548,1556,1578,1582,1592,1655,1668,1720,1747,1757],[1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1800,[20,25,86,102,192,197,200,229,260,315,368,389,436,453,467,489,491,505,509,548,582,587,643,744,759,764,778,813,823,906,908,953,1044,1055,1060,1061,1091,1092,1096,1116,1145,1172,1304,1314,1334,1384,1420,1482,1493,1548,1556,1578,1582,1592,1655,1668,1720,1747,1757],[3.58351893845611,1.9740810260220096,1.9740810260220096,3.1372318358276905,3.1780538303479458,1.8787708462176849,3.58351893845611,3.58351893845611,1.888923217681703,2.0794415416798357,0.9444616088408515,5.33445641316391,3.1780538303479458,3.0081547935525483,1.0986122886681098,3.1780538303479458,3.1780538303479458,2.4849066497880004,1.6376087894007967,7.16703787691222,2.8903717578961645,3.1780538303479458,2.4849066497880004,2.0794415416798357,1.7117167615545186,2.667228206581955,3.58351893845611,1.5686159179138452,2.667228206581955,4.969813299576001,3.58351893845611,1.5686159179138452,2.371247331315479,1.9740810260220096,3.1780538303479458,3.58351893845611,2.8903717578961645,2.667228206581955,3.58351893845611,2.4849066497880004,3.58351893845611,2.0794415416798357,2.4849066497880004,3.58351893845611,3.1780538303479458,2.4849066497880004,2.667228206581955,2.667228206581955,2.1972245773362196,2.330755969960742,2.667228206581955,3.58351893845611,3.7575416924353697,3.58351893845611,2.8903717578961645,1.8787708462176849,1.791759469228055,2.8903717578961645,1.1411719030869056])"
26,Tony C.,absolutely the best baguette and croissants in chicago the baguette is as should be crusty on the outside and soft on the inside it is in darker shadow white and with the right consistency the croissant are just perfect have need traveler living as a tour operator in the past 30 years and this is as good as any baking shop in french ,"['absolutely', 'the', 'best', 'baguette', 'and', 'croissants', 'in', 'chicago', 'the', 'baguette', 'is', 'as', 'should', 'be', 'crusty', 'on', 'the', 'outside', 'and', 'soft', 'on', 'the', 'inside', 'it', 'is', 'in', 'darker', 'shadow', 'white', 'and', 'with', 'the', 'right', 'consistency', 'the', 'croissant', 'are', 'just', 'perfect', 'have', 'need', 'traveler', 'living', 'as', 'a', 'tour', 'operator', 'in', 'the', 'past', '30', 'years', 'and', 'this', 'is', 'as', 'good', 'as', 'any', 'baking', 'shop', 'in', 'french']","['absolutely', 'best', 'baguette', 'croissants', 'chicago', 'baguette', 'crusty', 'outside', 'soft', 'inside', 'darker', 'shadow', 'white', 'right', 'consistency', 'croissant', 'perfect', 'need', 'traveler', 'living', 'tour', 'operator', 'past', '30', 'years', 'good', 'baking', 'shop', 'french']","(1800,[34,86,187,268,277,299,337,363,368,418,434,467,574,663,813,819,887,903,933,1075,1427,1450,1599,1665,1713,1715,1775,1799],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0])","(1800,[34,86,187,268,277,299,337,363,368,418,434,467,574,663,813,819,887,903,933,1075,1427,1450,1599,1665,1713,1715,1775,1799],[3.1780538303479458,1.9740810260220096,3.58351893845611,1.0986122886681098,2.0794415416798357,2.667228206581955,1.9740810260220096,1.5686159179138452,0.9444616088408515,1.1411719030869056,3.1780538303479458,1.0986122886681098,1.9740810260220096,2.4849066497880004,1.5686159179138452,2.8903717578961645,3.1780538303479458,2.0794415416798357,3.1780538303479458,2.4849066497880004,2.4849066497880004,2.1972245773362196,3.1780538303479458,2.4849066497880004,0.9444616088408515,4.1588830833596715,2.8903717578961645,2.4849066497880004])"
27,Elizabeth H.,we look forward for saturday morning walks to the boulangerie everything is great there our favorites are the ham and cheese croissant bacon and swiss quiche and the pistachio macaroons the grocery items are priced high i get it but if you know someone in europe better have them bring to you if visiting great place ,"['we', 'look', 'forward', 'for', 'saturday', 'morning', 'walks', 'to', 'the', 'boulangerie', 'everything', 'is', 'great', 'there', 'our', 'favorites', 'are', 'the', 'ham', 'and', 'cheese', 'croissant', 'bacon', 'and', 'swiss', 'quiche', 'and', 'the', 'pistachio', 'macaroons', 'the', 'grocery', 'items', 'are', 'priced', 'high', 'i', 'get', 'it', 'but', 'if', 'you', 'know', 'someone', 'in', 'europe', 'better', 'have', 'them', 'bring', 'to', 'you', 'if', 'visiting', 'great', 'place']","['look', 'forward', 'saturday', 'morning', 'walks', 'boulangerie', 'everything', 'great', 'favorites', 'ham', 'cheese', 'croissant', 'bacon', 'swiss', 'quiche', 'pistachio', 'macaroons', 'grocery', 'items', 'priced', 'high', 'get', 'know', 'someone', 'europe', 'better', 'bring', 'visiting', 'great', 'place']","(1800,[102,128,144,246,260,317,456,467,504,512,536,695,759,783,837,979,1294,1303,1350,1386,1497,1519,1539,1625,1704,1716,1741,1791],[1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1800,[102,128,144,246,260,317,456,467,504,512,536,695,759,783,837,979,1294,1303,1350,1386,1497,1519,1539,1625,1704,1716,1741,1791],[1.5686159179138452,2.667228206581955,1.7117167615545186,1.5686159179138452,1.888923217681703,3.1780538303479458,2.1972245773362196,2.1972245773362196,3.58351893845611,3.58351893845611,2.667228206581955,2.4849066497880004,1.7117167615545186,3.1780538303479458,2.330755969960742,1.8787708462176849,2.667228206581955,1.9740810260220096,3.1780538303479458,2.1972245773362196,2.4849066497880004,1.2321436812926323,2.8903717578961645,1.9740810260220096,1.791759469228055,2.667228206581955,2.330755969960742,0.8426789145309092])"
28,Sherri S.,did a quick search for a bakery in the area to bring to a last minute party and got lucky the macaroons were absolutely amazing and croissants were so buttery and delicious definitely a must have everything i brought was eaten and people were raving about the desserts ,"['did', 'a', 'quick', 'search', 'for', 'a', 'bakery', 'in', 'the', 'area', 'to', 'bring', 'to', 'a', 'last', 'minute', 'party', 'and', 'got', 'lucky', 'the', 'macaroons', 'were', 'absolutely', 'amazing', 'and', 'croissants', 'were', 'so', 'buttery', 'and', 'delicious', 'definitely', 'a', 'must', 'have', 'everything', 'i', 'brought', 'was', 'eaten', 'and', 'people', 'were', 'raving', 'about', 'the', 'desserts']","['quick', 'search', 'bakery', 'area', 'bring', 'last', 'minute', 'party', 'got', 'lucky', 'macaroons', 'absolutely', 'amazing', 'croissants', 'buttery', 'delicious', 'definitely', 'must', 'everything', 'brought', 'eaten', 'people', 'raving', 'desserts']","(1800,[74,86,146,185,189,197,274,288,292,465,489,623,837,903,955,1007,1049,1067,1313,1458,1519,1625,1665,1713],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1800,[74,86,146,185,189,197,274,288,292,465,489,623,837,903,955,1007,1049,1067,1313,1458,1519,1625,1665,1713],[3.1780538303479458,1.9740810260220096,3.58351893845611,2.8903717578961645,2.8903717578961645,1.8787708462176849,1.5686159179138452,1.7117167615545186,3.58351893845611,1.1856236656577395,3.1780538303479458,3.1780538303479458,2.330755969960742,2.0794415416798357,2.330755969960742,2.330755969960742,1.9740810260220096,2.4849066497880004,2.667228206581955,2.1972245773362196,1.2321436812926323,1.9740810260220096,2.4849066497880004,0.9444616088408515])"
29,Lauren L.,adorable place and the latte was great giving it a low score because the quiche lorraine was horrible inedible really it was so dry it was almost hard the bread and croissants looked good but i would never go back a french cafe should never serve quiche like that ,"['adorable', 'place', 'and', 'the', 'latte', 'was', 'great', 'giving', 'it', 'a', 'low', 'score', 'because', 'the', 'quiche', 'lorraine', 'was', 'horrible', 'inedible', 'really', 'it', 'was', 'so', 'dry', 'it', 'was', 'almost', 'hard', 'the', 'bread', 'and', 'croissants', 'looked', 'good', 'but', 'i', 'would', 'never', 'go', 'back', 'a', 'french', 'cafe', 'should', 'never', 'serve', 'quiche', 'like', 'that']","['adorable', 'place', 'latte', 'great', 'giving', 'low', 'score', 'quiche', 'lorraine', 'horrible', 'inedible', 'really', 'dry', 'almost', 'hard', 'bread', 'croissants', 'looked', 'good', 'never', 'go', 'back', 'french', 'cafe', 'never', 'serve', 'quiche', 'like']","(1800,[125,260,268,310,336,368,523,559,640,844,856,878,897,930,1072,1155,1326,1423,1430,1618,1645,1677,1704,1713,1791,1797],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0])","(1800,[125,260,268,310,336,368,523,559,640,844,856,878,897,930,1072,1155,1326,1423,1430,1618,1645,1677,1704,1713,1791,1797],[1.791759469228055,0.9444616088408515,1.0986122886681098,1.5686159179138452,3.1780538303479458,0.9444616088408515,2.667228206581955,3.58351893845611,2.8903717578961645,2.8903717578961645,3.1780538303479458,3.1780538303479458,1.3322271398496148,1.6376087894007967,2.4849066497880004,2.0794415416798357,3.7575416924353697,3.1780538303479458,1.0185695809945732,2.8903717578961645,3.1780538303479458,1.3322271398496148,3.58351893845611,0.9444616088408515,0.8426789145309092,3.1780538303479458])"
30,David Z.,fantastic freshly baked baguettes and great coffee in a cozy atmosphere ,"['fantastic', 'freshly', 'baked', 'baguettes', 'and', 'great', 'coffee', 'in', 'a', 'cozy', 'atmosphere']","['fantastic', 'freshly', 'baked', 'baguettes', 'great', 'coffee', 'cozy', 'atmosphere']","(1800,[104,260,351,372,420,551,831,1193],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1800,[104,260,351,372,420,551,831,1193],[2.330755969960742,0.9444616088408515,2.8903717578961645,1.8787708462176849,2.8903717578961645,1.0185695809945732,1.7117167615545186,2.4849066497880004])"
